
Balances trimestrales de criminalidad - 2018. 3º Trimestre
Indicadores de seguridad 2018 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2017,Enero-septiembre 2018,Variación % 2018/2017,
    TOTAL INFRACCIONES PENALES,55410.0,57743.0,4.2,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,35.0,27.0,-22.9,
    2.-Homicidios dolosos y asesinatos en grado tentativa,72.0,52.0,-27.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1556.0,1559.0,0.2,
    4.-Secuestro,3.0,8.0,166.7,
    5.-Delitos contra la libertad e indemnidad sexual,1381.0,1460.0,5.7,
    5.1.-Agresión sexual con penetración,178.0,180.0,1.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1203.0,1280.0,6.4,
    6.-Robos con violencia e intimidación,12069.0,10351.0,-14.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,14198.0,14167.0,-0.2,
    7.1.-Robos con fuerza en domicilios,9268.0,9514.0,2.7,
    8.-Hurtos,115064.0,109940.0,-4.5,
    9.-Sustracciones de vehículos,8116.0,6533.0,-19.5,
    10.-Tráfico de drogas,1164.0,1435.0,23.3,
    TOTAL INFRACCIONES PENALES,280928.0,283510.0,0.9,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,11.0,11.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,26.0,16.0,-38.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,468.0,445.0,-4.9,
    4.-Secuestro,0.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,297.0,354.0,19.2,
    5.1.-Agresión sexual con penetración,27.0,37.0,37.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,270.0,317.0,17.4,
    6.-Robos con violencia e intimidación,1084.0,1102.0,1.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5058.0,4905.0,-3.0,
    7.1.-Robos con fuerza en domicilios,4207.0,4122.0,-2.0,
    8.-Hurtos,11413.0,11078.0,-2.9,
    9.-Sustracciones de vehículos,1026.0,730.0,-28.8,
    10.-Tráfico de drogas,232.0,226.0,-2.6,
    TOTAL INFRACCIONES PENALES,39316.0,40578.0,3.2,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,4.0,9.0,125.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,11.0,-42.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,303.0,292.0,-3.6,
    4.-Secuestro,1.0,2.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,188.0,209.0,11.2,
    5.1.-Agresión sexual con penetración,21.0,30.0,42.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,167.0,179.0,7.2,
    6.-Robos con violencia e intimidación,353.0,208.0,-41.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1165.0,1027.0,-11.8,
    7.1.-Robos con fuerza en domicilios,737.0,676.0,-8.3,
    8.-Hurtos,5967.0,6048.0,1.4,
    9.-Sustracciones de vehículos,131.0,132.0,0.8,
    10.-Tráfico de drogas,98.0,104.0,6.1,
    TOTAL INFRACCIONES PENALES,18795.0,20447.0,8.8,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,3.0,6.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,33.0,29.0,-12.1,
