
Balances trimestrales de criminalidad - 2018. 2º Trimestre
Indicadores de seguridad 2018 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2017,Enero-junio 2018,Variación % 2018/2017,
    6.-Robos con violencia e intimidación,113.0,117.0,3.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,11.0,25.0,127.3,
    7.1.-Robos con fuerza en domicilios,7.0,16.0,128.6,
    8.-Hurtos,1341.0,1363.0,1.6,
    9.-Sustracciones de vehículos,44.0,50.0,13.6,
    10.-Tráfico de drogas,5.0,6.0,20.0,
    TOTAL INFRACCIONES PENALES,9464.0,10935.0,15.5,
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                        
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                       
                 
Fuente: Ministerio del Interior
