
Balance de criminalidad. 2021 - 4º Trimestre - CCAA
Indicadores de seguridad 2021 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1096.0,1265.0,15.4,
    7.1.-Robos con fuerza en domicilios,666.0,824.0,23.7,
    8.-Hurtos,4469.0,5523.0,23.6,
    9.-Sustracciones de vehículos,131.0,122.0,-6.9,
    10.-Tráfico de drogas,146.0,147.0,0.7,
    Resto de infracciones penales,17060.0,18800.0,10.2,
    TOTAL INFRACCIONES PENALES,23596.0,26719.0,13.2,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,13.0,11.0,-15.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,29.0,51.0,75.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,878.0,1079.0,22.9,
    4.-Secuestro,4.0,4.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,602.0,718.0,19.3,
    5.1.-Agresión sexual con penetración,79.0,122.0,54.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,523.0,596.0,14.0,
    6.-Robos con violencia e intimidación,1053.0,1426.0,35.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,5564.0,6573.0,18.1,
    7.1.-Robos con fuerza en domicilios,3651.0,4350.0,19.1,
    8.-Hurtos,17916.0,22253.0,24.2,
    9.-Sustracciones de vehículos,632.0,694.0,9.8,
    10.-Tráfico de drogas,566.0,525.0,-7.2,
    Resto de infracciones penales,49919.0,51447.0,3.1,
    TOTAL INFRACCIONES PENALES,77176.0,84781.0,9.9,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,5.0,3.0,-40.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,5.0,66.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,120.0,161.0,34.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,104.0,102.0,-1.9,
    5.1.-Agresión sexual con penetración,10.0,9.0,-10.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,94.0,93.0,-1.1,
    6.-Robos con violencia e intimidación,78.0,116.0,48.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,455.0,496.0,9.0,
    7.1.-Robos con fuerza en domicilios,352.0,397.0,12.8,
    8.-Hurtos,1475.0,1789.0,21.3,
    9.-Sustracciones de vehículos,31.0,59.0,90.3,
    10.-Tráfico de drogas,72.0,75.0,4.2,
    Resto de infracciones penales,5484.0,6309.0,15.0,
    TOTAL INFRACCIONES PENALES,7827.0,9115.0,16.5,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,2.0,2.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,10.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,74.0,73.0,-1.4,
    4.-Secuestro,0.0,3.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,37.0,47.0,27.0,
    5.1.-Agresión sexual con penetración,2.0,4.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,35.0,43.0,22.9,
    6.-Robos con violencia e intimidación,128.0,195.0,52.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,69.0,59.0,-14.5,
    7.1.-Robos con fuerza en domicilios,37.0,31.0,-16.2,
    8.-Hurtos,471.0,434.0,-7.9,
    9.-Sustracciones de vehículos,84.0,103.0,22.6,
    10.-Tráfico de drogas,220.0,205.0,-6.8,
    Resto de infracciones penales,2558.0,2785.0,8.9,
    TOTAL INFRACCIONES PENALES,3648.0,3916.0,7.3,
