
Balances trimestrales de criminalidad - 2018. 4º Trimestre
Indicadores de seguridad 2018 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2017,Enero-diciembre 2018,Variación % 2018/2017,
    7.1.-Robos con fuerza en domicilios,12562.0,12793.0,1.8,
    8.-Hurtos,156329.0,152602.0,-2.4,
    9.-Sustracciones de vehículos,10715.0,8712.0,-18.7,
    10.-Tráfico de drogas,1608.0,1954.0,21.5,
    Resto de infracciones penales,172934.0,188556.0,9.0,
    TOTAL INFRACCIONES PENALES,381242.0,389955.0,2.3,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,14.0,11.0,-21.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,31.0,25.0,-19.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,604.0,620.0,2.6,
    4.-Secuestro,0.0,3.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,391.0,479.0,22.5,
    5.1.-Agresión sexual con penetración,41.0,46.0,12.2,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,350.0,433.0,23.7,
    6.-Robos con violencia e intimidación,1458.0,1445.0,-0.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6956.0,6757.0,-2.9,
    7.1.-Robos con fuerza en domicilios,5826.0,5642.0,-3.2,
    8.-Hurtos,15261.0,14745.0,-3.4,
    9.-Sustracciones de vehículos,1293.0,957.0,-26.0,
    10.-Tráfico de drogas,293.0,287.0,-2.0,
    Resto de infracciones penales,26389.0,29564.0,12.0,
    TOTAL INFRACCIONES PENALES,52690.0,54893.0,4.2,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,7.0,11.0,57.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,21.0,14.0,-33.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,388.0,378.0,-2.6,
    4.-Secuestro,1.0,3.0,200.0,
    5.-Delitos contra la libertad e indemnidad sexual,232.0,271.0,16.8,
    5.1.-Agresión sexual con penetración,29.0,36.0,24.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,203.0,235.0,15.8,
    6.-Robos con violencia e intimidación,432.0,255.0,-41.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1519.0,1510.0,-0.6,
    7.1.-Robos con fuerza en domicilios,955.0,987.0,3.4,
    8.-Hurtos,7572.0,7746.0,2.3,
