
Balances trimestrales de criminalidad - 2018. 1er Trimestre
Indicadores de seguridad 2018 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2017,Enero-marzo 2018,Variación % 2018/2017,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,25.0,22.0,-12.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,11.0,12.0,9.1,
    5.1.-Agresión sexual con penetración,2.0,2.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,9.0,10.0,11.1,
    6.-Robos con violencia e intimidación,19.0,23.0,21.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,195.0,192.0,-1.5,
    7.1.-Robos con fuerza en domicilios,159.0,147.0,-7.5,
    8.-Hurtos,645.0,541.0,-16.1,
    9.-Sustracciones de vehículos,26.0,13.0,-50.0,
    10.-Tráfico de drogas,24.0,20.0,-16.7,
    TOTAL INFRACCIONES PENALES,1994.0,1913.0,-4.1,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,20.0,15.0,-25.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,5.0,22.0,340.0,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,5.0,20.0,300.0,
    6.-Robos con violencia e intimidación,36.0,30.0,-16.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,34.0,21.0,-38.2,
    7.1.-Robos con fuerza en domicilios,21.0,16.0,-23.8,
    8.-Hurtos,217.0,187.0,-13.8,
    9.-Sustracciones de vehículos,66.0,66.0,0.0,
    10.-Tráfico de drogas,107.0,52.0,-51.4,
    TOTAL INFRACCIONES PENALES,1283.0,1081.0,-15.7,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,20.0,23.0,15.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,9.0,10.0,11.1,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,9.0,10.0,11.1,
