
Balance de criminalidad. 2020 - 1er Trimestre - CCAA
Indicadores de seguridad 2020 - 1er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-marzo 2019,Enero-marzo 2020,Variación % 2020/2019,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,3.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,87.0,52.0,-40.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,52.0,62.0,19.2,
    5.1.-Agresión sexual con penetración,5.0,5.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,47.0,57.0,21.3,
    6.-Robos con violencia e intimidación,46.0,74.0,60.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,381.0,386.0,1.3,
    7.1.-Robos con fuerza en domicilios,217.0,202.0,-6.9,
    8.-Hurtos,1575.0,1400.0,-11.1,
    9.-Sustracciones de vehículos,51.0,40.0,-21.6,
    10.-Tráfico de drogas,46.0,40.0,-13.0,
    Resto de infracciones penales,4054.0,4297.0,6.0,
    TOTAL INFRACCIONES PENALES,6295.0,6355.0,1.0,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,3.0,7.0,133.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,6.0,-45.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,266.0,250.0,-6.0,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,114.0,158.0,38.6,
    5.1.-Agresión sexual con penetración,24.0,16.0,-33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,90.0,142.0,57.8,
    6.-Robos con violencia e intimidación,457.0,307.0,-32.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2244.0,1739.0,-22.5,
    7.1.-Robos con fuerza en domicilios,1405.0,1054.0,-25.0,
    8.-Hurtos,7306.0,6101.0,-16.5,
    9.-Sustracciones de vehículos,249.0,179.0,-28.1,
    10.-Tráfico de drogas,98.0,117.0,19.4,
    Resto de infracciones penales,12229.0,12833.0,4.9,
    TOTAL INFRACCIONES PENALES,22979.0,21698.0,-5.6,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,24.0,41.0,70.8,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,18.0,29.0,61.1,
    5.1.-Agresión sexual con penetración,3.0,4.0,33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,15.0,25.0,66.7,
    6.-Robos con violencia e intimidación,26.0,16.0,-38.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,155.0,136.0,-12.3,
    7.1.-Robos con fuerza en domicilios,116.0,103.0,-11.2,
    8.-Hurtos,549.0,444.0,-19.1,
    9.-Sustracciones de vehículos,14.0,6.0,-57.1,
    10.-Tráfico de drogas,31.0,13.0,-58.1,
    Resto de infracciones penales,1307.0,1165.0,-10.9,
    TOTAL INFRACCIONES PENALES,2125.0,1854.0,-12.8,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,12.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,8.0,22.0,175.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,6.0,7.0,16.7,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
