
Balance de criminalidad. 2022 - 2º Trimestre - CCAA
Indicadores de seguridad 2022 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2021,Enero-junio 2022,Variación % 2022/2021,
    9.-Sustracciones de vehículos,30.0,35.0,16.7,
    10.-Tráfico de drogas,36.0,50.0,38.9,
    Resto de infracciones penales,2834.0,3735.0,31.8,
    TOTAL INFRACCIONES PENALES,4045.0,5636.0,39.3,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,13.0,116.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,30.0,43.0,43.3,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,17.0,20.0,17.6,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,17.0,20.0,17.6,
    6.-Robos con violencia e intimidación,94.0,51.0,-45.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,33.0,28.0,-15.2,
    7.1.-Robos con fuerza en domicilios,15.0,17.0,13.3,
    8.-Hurtos,188.0,198.0,5.3,
    9.-Sustracciones de vehículos,49.0,56.0,14.3,
    10.-Tráfico de drogas,96.0,65.0,-32.3,
    Resto de infracciones penales,1297.0,1351.0,4.2,
    TOTAL INFRACCIONES PENALES,1810.0,1827.0,0.9,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,4.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,53.0,43.0,-18.9,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,16.0,12.0,-25.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,16.0,11.0,-31.3,
    6.-Robos con violencia e intimidación,100.0,52.0,-48.0,
