,Enero-diciembre 2019,Enero-diciembre 2020,Variacion % 2020/2019
    8.-Hurtos,819.0,473.0,-42.2
    9.-Sustracciones de vehiculos,168.0,84.0,-50.0
    10.-Trafico de drogas,297.0,220.0,-25.9
    Resto de infracciones penales,3168.0,2572.0,-18.8
    TOTAL INFRACCIONES PENALES,4746.0,3665.0,-22.8
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,2.0,-75.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,149.0,152.0,2.0
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,33.0,34.0,3.0
    5.1.-Agresion sexual con penetracion,5.0,4.0,-20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,28.0,30.0,7.1
    6.-Robos con violencia e intimidacion,375.0,301.0,-19.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,98.0,68.0,-30.6
    7.1.-Robos con fuerza en domicilios,71.0,44.0,-38.0
    8.-Hurtos,1202.0,778.0,-35.3
    9.-Sustracciones de vehiculos,76.0,43.0,-43.4
    10.-Trafico de drogas,76.0,231.0,203.9
    Resto de infracciones penales,3564.0,2884.0,-19.1
    TOTAL INFRACCIONES PENALES,5582.0,4493.0,-19.5
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,5.0,9.0,80.0
    4.-Secuestro,5.0,2.0,-60.0
    5.-Delitos contra la libertad e indemnidad sexual,73.0,42.0,-42.5
    5.1.-Agresion sexual con penetracion,19.0,7.0,-63.2
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,54.0,35.0,-35.2
    6.-Robos con violencia e intimidacion,263.0,77.0,-70.7
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,24.0,19.0,-20.8
    7.1.-Robos con fuerza en domicilios,17.0,15.0,-11.8
    8.-Hurtos,3096.0,910.0,-70.6
    9.-Sustracciones de vehiculos,110.0,89.0,-19.1
    10.-Trafico de drogas,15.0,19.0,26.7
    Resto de infracciones penales,11722.0,7795.0,-33.5
    TOTAL INFRACCIONES PENALES,15315.0,8963.0,-41.5
