,Enero-marzo 2021,Enero-marzo 2022,Variacion % 2022/2021
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,1358.0,1869.0,37.6
    7.1.-Robos con fuerza en domicilios,901.0,1164.0,29.2
    8.-Hurtos,4471.0,7317.0,63.7
    9.-Sustracciones de vehiculos,138.0,188.0,36.2
    10.-Trafico de drogas,143.0,137.0,-4.2
    Resto de infracciones penales,12844.0,14260.0,11.0
    TOTAL INFRACCIONES PENALES,19498.0,24796.0,27.2
RIOJA (LA)
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,19.0,40.0,110.5
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,21.0,24.0,14.3
    5.1.-Agresion sexual con penetracion,1.0,2.0,100.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,20.0,22.0,10.0
    6.-Robos con violencia e intimidacion,22.0,18.0,-18.2
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,91.0,191.0,109.9
    7.1.-Robos con fuerza en domicilios,74.0,133.0,79.7
    8.-Hurtos,319.0,552.0,73.0
    9.-Sustracciones de vehiculos,16.0,15.0,-6.3
    10.-Trafico de drogas,15.0,23.0,53.3
    Resto de infracciones penales,1389.0,1812.0,30.5
    TOTAL INFRACCIONES PENALES,1893.0,2675.0,41.3
CIUDAD AUTONOMA DE CEUTA
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,3.0,1.0,-66.7
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,11.0,15.0,36.4
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,11.0,12.0,9.1
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,11.0,12.0,9.1
    6.-Robos con violencia e intimidacion,37.0,33.0,-10.8
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,18.0,17.0,-5.6
    7.1.-Robos con fuerza en domicilios,9.0,12.0,33.3
    8.-Hurtos,69.0,95.0,37.7
    9.-Sustracciones de vehiculos,29.0,24.0,-17.2
    10.-Trafico de drogas,44.0,39.0,-11.4
    Resto de infracciones penales,617.0,654.0,6.0
    TOTAL INFRACCIONES PENALES,839.0,891.0,6.2
CIUDAD AUTONOMA DE MELILLA
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,1.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,26.0,21.0,-19.2
    4.-Secuestro,0.0,0.0,0.0
    5.-Delitos contra la libertad e indemnidad sexual,5.0,5.0,0.0
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,5.0,5.0,0.0
    6.-Robos con violencia e intimidacion,54.0,26.0,-51.9
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,15.0,13.0,-13.3
    7.1.-Robos con fuerza en domicilios,10.0,8.0,-20.0
    8.-Hurtos,173.0,139.0,-19.7
    9.-Sustracciones de vehiculos,8.0,12.0,50.0
    10.-Trafico de drogas,118.0,21.0,-82.2
    Resto de infracciones penales,692.0,743.0,7.4
    TOTAL INFRACCIONES PENALES,1092.0,982.0,-10.1
EN EL EXTRANJERO
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3.-Delitos graves y menos graves de lesiones y rina tumultuaria,0.0,0.0,0.0
    4.-Secuestro,2.0,0.0,-100.0
    5.-Delitos contra la libertad e indemnidad sexual,18.0,14.0,-22.2
    5.1.-Agresion sexual con penetracion,5.0,6.0,20.0
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,13.0,8.0,-38.5
    6.-Robos con violencia e intimidacion,6.0,32.0,433.3
    7.-Robos con fuerza en domicilios establecimientos y otras instalaciones,2.0,5.0,150.0
    7.1.-Robos con fuerza en domicilios,2.0,2.0,0.0
    8.-Hurtos,67.0,330.0,392.5
    9.-Sustracciones de vehiculos,13.0,11.0,-15.4
    10.-Trafico de drogas,3.0,1.0,-66.7
    Resto de infracciones penales,1589.0,1652.0,4.0
    TOTAL INFRACCIONES PENALES,1700.0,2045.0,20.3
